Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Endometrial cancer Homo sapiens hsa05213	4/52	8.431194e-09	6.702220e-07	0	0	2.769722e+02	5.149281e+03	PTEN;KRAS;TP53;EGFR
KEGG_2016	Glioma Homo sapiens hsa05214	4/65	2.101958e-08	6.702220e-07	0	0	2.178033e+02	3.850285e+03	PTEN;KRAS;TP53;EGFR
KEGG_2016	Central carbon metabolism in cancer Homo sapiens hsa05230	4/67	2.378497e-08	6.702220e-07	0	0	2.108677e+02	3.701617e+03	PTEN;KRAS;TP53;EGFR
KEGG_2016	Melanoma Homo sapiens hsa05218	4/71	3.012234e-08	6.702220e-07	0	0	1.982388e+02	3.433099e+03	PTEN;KRAS;TP53;EGFR
KEGG_2016	Prostate cancer Homo sapiens hsa05215	4/89	7.536849e-08	1.341559e-06	0	0	1.561176e+02	2.560466e+03	PTEN;KRAS;TP53;EGFR
KEGG_2016	MicroRNAs in cancer Homo sapiens hsa05206	5/297	1.655504e-07	2.455664e-06	0	0	6.745890e+01	1.053303e+03	PTEN;KRAS;BRCA1;TP53;EGFR
KEGG_2016	PI3K-Akt signaling pathway Homo sapiens hsa04151	5/341	3.287002e-07	4.179188e-06	0	0	5.849405e+01	8.732061e+02	PTEN;KRAS;BRCA1;TP53;EGFR
KEGG_2016	Bladder cancer Homo sapiens hsa05219	3/41	9.499260e-07	1.056793e-05	0	0	2.250226e+02	3.120361e+03	KRAS;TP53;EGFR
KEGG_2016	Non-small cell lung cancer Homo sapiens hsa05223	3/56	2.460474e-06	2.433136e-05	0	0	1.612156e+02	2.082125e+03	KRAS;TP53;EGFR
KEGG_2016	Pancreatic cancer Homo sapiens hsa05212	3/66	4.051094e-06	3.605474e-05	0	0	1.355578e+02	1.683157e+03	KRAS;TP53;EGFR
KEGG_2016	Sphingolipid signaling pathway Homo sapiens hsa04071	3/120	2.451227e-05	1.983266e-04	0	0	7.279487e+01	7.728149e+02	PTEN;KRAS;TP53
KEGG_2016	Pathways in cancer Homo sapiens hsa05200	4/397	2.921154e-05	2.119566e-04	0	0	3.324343e+01	3.470929e+02	PTEN;KRAS;TP53;EGFR
KEGG_2016	FoxO signaling pathway Homo sapiens hsa04068	3/133	3.334149e-05	2.119566e-04	0	0	6.547253e+01	6.749372e+02	PTEN;KRAS;EGFR
KEGG_2016	Hepatitis C Homo sapiens hsa05160	3/133	3.334149e-05	2.119566e-04	0	0	6.547253e+01	6.749372e+02	KRAS;TP53;EGFR
KEGG_2016	Hepatitis B Homo sapiens hsa05161	3/146	4.404389e-05	2.613271e-04	0	0	5.948152e+01	5.966189e+02	PTEN;KRAS;TP53
KEGG_2016	Dorso-ventral axis formation Homo sapiens hsa04320	2/27	7.845066e-05	4.363818e-04	0	0	1.996500e+02	1.887300e+03	KRAS;EGFR
KEGG_2016	Thyroid cancer Homo sapiens hsa05216	2/29	9.069522e-05	4.748161e-04	0	0	1.848426e+02	1.720516e+03	KRAS;TP53
KEGG_2016	Proteoglycans in cancer Homo sapiens hsa05205	3/203	1.173072e-04	5.800191e-04	0	0	4.240714e+01	3.838149e+02	KRAS;TP53;EGFR
KEGG_2016	MAPK signaling pathway Homo sapiens hsa04010	3/255	2.300480e-04	1.077593e-03	0	0	3.356803e+01	2.812068e+02	KRAS;TP53;EGFR
KEGG_2016	Colorectal cancer Homo sapiens hsa05210	2/62	4.187279e-04	1.863339e-03	0	0	8.304167e+01	6.459221e+02	KRAS;TP53
KEGG_2016	p53 signaling pathway Homo sapiens hsa04115	2/69	5.185110e-04	2.197499e-03	0	0	7.433955e+01	5.623452e+02	PTEN;TP53
KEGG_2016	Chronic myeloid leukemia Homo sapiens hsa05220	2/73	5.802193e-04	2.347251e-03	0	0	7.013732e+01	5.226707e+02	KRAS;TP53
KEGG_2016	Small cell lung cancer Homo sapiens hsa05222	2/86	8.041717e-04	2.996758e-03	0	0	5.924405e+01	4.221552e+02	PTEN;TP53
KEGG_2016	ErbB signaling pathway Homo sapiens hsa04012	2/87	8.228739e-04	2.996758e-03	0	0	5.854412e+01	4.158217e+02	KRAS;EGFR
KEGG_2016	Gap junction Homo sapiens hsa04540	2/88	8.417860e-04	2.996758e-03	0	0	5.786047e+01	4.096512e+02	KRAS;EGFR
KEGG_2016	GnRH signaling pathway Homo sapiens hsa04912	2/91	8.997798e-04	3.080015e-03	0	0	5.590169e+01	3.920587e+02	KRAS;EGFR
KEGG_2016	Longevity regulating pathway - mammal Homo sapiens hsa04211	2/94	9.596562e-04	3.163311e-03	0	0	5.407065e+01	3.757335e+02	KRAS;TP53
KEGG_2016	Estrogen signaling pathway Homo sapiens hsa04915	2/99	1.063621e-03	3.380796e-03	0	0	5.127062e+01	3.510025e+02	KRAS;EGFR
KEGG_2016	Choline metabolism in cancer Homo sapiens hsa05231	2/101	1.106663e-03	3.396311e-03	0	0	5.022980e+01	3.418844e+02	KRAS;EGFR
KEGG_2016	Thyroid hormone signaling pathway Homo sapiens hsa04919	2/118	1.505888e-03	4.467468e-03	0	0	4.283190e+01	2.783376e+02	KRAS;TP53
KEGG_2016	Neurotrophin signaling pathway Homo sapiens hsa04722	2/120	1.556759e-03	4.469404e-03	0	0	4.210169e+01	2.721937e+02	KRAS;TP53
KEGG_2016	Tight junction Homo sapiens hsa04530	2/139	2.080586e-03	5.691083e-03	0	0	3.622810e+01	2.237124e+02	PTEN;KRAS
KEGG_2016	Apoptosis Homo sapiens hsa04210	2/140	2.110177e-03	5.691083e-03	0	0	3.596377e+01	2.215722e+02	KRAS;TP53
KEGG_2016	Phospholipase D signaling pathway Homo sapiens hsa04072	2/144	2.230545e-03	5.838781e-03	0	0	3.494366e+01	2.133488e+02	KRAS;EGFR
KEGG_2016	Oxytocin signaling pathway Homo sapiens hsa04921	2/158	2.676992e-03	6.807208e-03	0	0	3.178526e+01	1.882660e+02	KRAS;EGFR
KEGG_2016	Focal adhesion Homo sapiens hsa04510	2/202	4.330505e-03	1.070597e-02	0	0	2.473750e+01	1.346232e+02	PTEN;EGFR
KEGG_2016	Viral carcinogenesis Homo sapiens hsa05203	2/205	4.456844e-03	1.072052e-02	0	0	2.436823e+01	1.319129e+02	KRAS;TP53
KEGG_2016	Rap1 signaling pathway Homo sapiens hsa04015	2/211	4.714653e-03	1.104221e-02	0	0	2.366148e+01	1.267565e+02	KRAS;EGFR
KEGG_2016	Regulation of actin cytoskeleton Homo sapiens hsa04810	2/214	4.846114e-03	1.105908e-02	0	0	2.332311e+01	1.243024e+02	KRAS;EGFR
